bathrooms,bedrooms,brokerId,city,country,currency,datePriceChanged,dateSold,daysOnZillow,desktopWebHdpImageLink,festimate,hiResImageLink,hideZestimate,homeStatus,homeStatusForHDP,homeType,imageLink,isFeatured,isListingClaimedByCurrentSignedInUser,isListingOwnedByCurrentSignedInAgent,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotId,lotId64,lotSize,mediumImageLink,openHouse,open_house_info,photoCount,price,priceChange,priceForHDP,priceReduction,rentZestimate,rentalPetsFlags,shouldHighlight,state,streetAddress,tvCollectionImageLink,tvHighResImageLink,tvImageLink,watchImageLink,yearBuilt,zestimate,zillowHasRightsToImages,zipcode,zpid
1.0,1.0,8460,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISyrzh6qk8tote1000000000.jpg,821742.0,https://photos.zillowstatic.com/p_f/ISyrzh6qk8tote1000000000.jpg,False,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/p_g/ISyrzh6qk8tote1000000000.jpg,False,False,False,False,False,,False,False,40.720061,{u'is_FSBA': True},681.0,-73.963532,,,77972.0,https://photos.zillowstatic.com/p_c/ISyrzh6qk8tote1000000000.jpg,,,15,1150000.0,,1150000.0,,3695.0,128.0,False,NY,22 N 6th St APT 26A,https://photos.zillowstatic.com/p_l/ISyrzh6qk8tote1000000000.jpg,https://photos.zillowstatic.com/p_n/ISyrzh6qk8tote1000000000.jpg,https://photos.zillowstatic.com/p_m/ISyrzh6qk8tote1000000000.jpg,https://photos.zillowstatic.com/p_j/ISyrzh6qk8tote1000000000.jpg,-1,1110463.0,False,11249,112509198
2.0,2.0,13559,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISync17ge4t8wm0000000000.jpg,1168749.0,https://photos.zillowstatic.com/p_f/ISync17ge4t8wm0000000000.jpg,False,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/p_g/ISync17ge4t8wm0000000000.jpg,True,False,False,False,False,,False,False,40.66797,"{u'is_openHouse': True, u'is_FSBA': True}",1163.0,-73.976451,,,-1.0,https://photos.zillowstatic.com/p_c/ISync17ge4t8wm0000000000.jpg,Sun. 1-2:30pm,"{u'open_house_showing': [{u'open_house_start': 1554062400000, u'open_house_end': 1554067800000}]}",11,1650000.0,,1650000.0,,4995.0,128.0,False,NY,565 5th St APT 3,https://photos.zillowstatic.com/p_l/ISync17ge4t8wm0000000000.jpg,https://photos.zillowstatic.com/p_n/ISync17ge4t8wm0000000000.jpg,https://photos.zillowstatic.com/p_m/ISync17ge4t8wm0000000000.jpg,https://photos.zillowstatic.com/p_j/ISync17ge4t8wm0000000000.jpg,-1,1579391.0,False,11215,124207403
2.0,5.0,0,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/IS6q3qo0xrgbep0000000000.jpg,508912.0,https://photos.zillowstatic.com/p_f/IS6q3qo0xrgbep0000000000.jpg,False,MMM,MMM,MULTI_FAMILY,https://photos.zillowstatic.com/p_g/IS6q3qo0xrgbep0000000000.jpg,False,False,False,False,False,,False,False,40.664757,{},,-73.915611,,,-1.0,https://photos.zillowstatic.com/p_c/IS6q3qo0xrgbep0000000000.jpg,,,1,699999.0,,699999.0,,2900.0,,False,NY,916 Mother Gaston Blvd,https://photos.zillowstatic.com/p_l/IS6q3qo0xrgbep0000000000.jpg,https://photos.zillowstatic.com/p_n/IS6q3qo0xrgbep0000000000.jpg,https://photos.zillowstatic.com/p_m/IS6q3qo0xrgbep0000000000.jpg,https://photos.zillowstatic.com/p_j/IS6q3qo0xrgbep0000000000.jpg,-1,636140.0,False,11212,2085330884
,,16886,Brooklyn,USA,USD,,0,156,https://photos.zillowstatic.com/p_h/ISmqq02h523xf41000000000.jpg,421245.0,https://photos.zillowstatic.com/p_f/ISmqq02h523xf41000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISmqq02h523xf41000000000.jpg,False,False,False,True,False,True,False,False,40.642863,{u'is_forAuction': True},1585.0,-73.889903,,,2178.0,https://photos.zillowstatic.com/p_c/ISmqq02h523xf41000000000.jpg,,,5,,,,,2100.0,64.0,False,NY,1168 E 105th St,https://photos.zillowstatic.com/p_l/ISmqq02h523xf41000000000.jpg,https://photos.zillowstatic.com/p_n/ISmqq02h523xf41000000000.jpg,https://photos.zillowstatic.com/p_m/ISmqq02h523xf41000000000.jpg,https://photos.zillowstatic.com/p_j/ISmqq02h523xf41000000000.jpg,-1,569250.0,False,11236,30776785
,,16886,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISu43ani151bj41000000000.jpg,553013.0,https://photos.zillowstatic.com/p_f/ISu43ani151bj41000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISu43ani151bj41000000000.jpg,False,False,False,False,False,True,False,False,40.642755,{u'is_forAuction': True},2458.0,-73.904389,2009880091.0,2009880091.0,8276.0,https://photos.zillowstatic.com/p_c/ISu43ani151bj41000000000.jpg,,,5,,,,,2100.0,,False,NY,87 Conklin Ave # 89,https://photos.zillowstatic.com/p_l/ISu43ani151bj41000000000.jpg,https://photos.zillowstatic.com/p_n/ISu43ani151bj41000000000.jpg,https://photos.zillowstatic.com/p_m/ISu43ani151bj41000000000.jpg,https://photos.zillowstatic.com/p_j/ISu43ani151bj41000000000.jpg,-1,691267.0,False,11236,2085331163
,,16886,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISecunsia58pnz0000000000.jpg,570627.0,https://photos.zillowstatic.com/p_f/ISecunsia58pnz0000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISecunsia58pnz0000000000.jpg,False,False,False,False,False,True,False,False,40.641218,{u'is_forAuction': True},2558.0,-73.932874,,,3920.0,https://photos.zillowstatic.com/p_c/ISecunsia58pnz0000000000.jpg,,,5,,,,,2100.0,64.0,False,NY,817 E 46th St,https://photos.zillowstatic.com/p_l/ISecunsia58pnz0000000000.jpg,https://photos.zillowstatic.com/p_n/ISecunsia58pnz0000000000.jpg,https://photos.zillowstatic.com/p_m/ISecunsia58pnz0000000000.jpg,https://photos.zillowstatic.com/p_j/ISecunsia58pnz0000000000.jpg,-1,771118.0,False,11203,30662987
,,16886,Brooklyn,USA,USD,,0,-1,https://www.zillowstatic.com/static/images/nophoto_p_h.png,469601.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://www.zillowstatic.com/static/images/nophoto_p_g.png,False,False,False,False,False,True,False,False,40.681511,{u'is_forAuction': True},2160.0,-73.867513,,,2613.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,,,0,,,,,2300.0,,False,NY,49 Sheridan Ave,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,-1,634597.0,False,11208,30644178
,,16886,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/IS6u2skf5gsebn0000000000.jpg,518232.0,https://photos.zillowstatic.com/p_f/IS6u2skf5gsebn0000000000.jpg,False,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/p_g/IS6u2skf5gsebn0000000000.jpg,False,False,False,False,False,True,False,False,40.578443,{u'is_forAuction': True},1287.0,-73.961496,,,-1.0,https://photos.zillowstatic.com/p_c/IS6u2skf5gsebn0000000000.jpg,,,5,,,,,2500.0,,False,NY,3047 Brighton 6th St APT 2B,https://photos.zillowstatic.com/p_l/IS6u2skf5gsebn0000000000.jpg,https://photos.zillowstatic.com/p_n/IS6u2skf5gsebn0000000000.jpg,https://photos.zillowstatic.com/p_m/IS6u2skf5gsebn0000000000.jpg,https://photos.zillowstatic.com/p_j/IS6u2skf5gsebn0000000000.jpg,-1,700314.0,False,11235,112499498
,3.0,16886,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISq5lx05eqxlto0000000000.jpg,537422.0,https://photos.zillowstatic.com/p_f/ISq5lx05eqxlto0000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISq5lx05eqxlto0000000000.jpg,False,False,False,False,False,True,False,False,40.598681,{u'is_forAuction': True},1116.0,-73.940332,,,1742.0,https://photos.zillowstatic.com/p_c/ISq5lx05eqxlto0000000000.jpg,,,5,502485.0,,502485.0,,2300.0,,False,NY,2951 Avenue V,https://photos.zillowstatic.com/p_l/ISq5lx05eqxlto0000000000.jpg,https://photos.zillowstatic.com/p_n/ISq5lx05eqxlto0000000000.jpg,https://photos.zillowstatic.com/p_m/ISq5lx05eqxlto0000000000.jpg,https://photos.zillowstatic.com/p_j/ISq5lx05eqxlto0000000000.jpg,-1,726246.0,False,11229,30745184
,,16886,Brooklyn,USA,USD,,0,296,https://photos.zillowstatic.com/p_h/ISqdr7ng87qp6n0000000000.jpg,961126.0,https://photos.zillowstatic.com/p_f/ISqdr7ng87qp6n0000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISqdr7ng87qp6n0000000000.jpg,False,False,False,True,False,True,False,False,40.638045,{u'is_forAuction': True},2040.0,-73.986997,,,2178.0,https://photos.zillowstatic.com/p_c/ISqdr7ng87qp6n0000000000.jpg,,,5,734383.0,,734383.0,,2368.0,,False,NY,1348 42nd St,https://photos.zillowstatic.com/p_l/ISqdr7ng87qp6n0000000000.jpg,https://photos.zillowstatic.com/p_n/ISqdr7ng87qp6n0000000000.jpg,https://photos.zillowstatic.com/p_m/ISqdr7ng87qp6n0000000000.jpg,https://photos.zillowstatic.com/p_j/ISqdr7ng87qp6n0000000000.jpg,-1,1298819.0,False,11219,30683870
